symbol,timestamp_ms,open,high,low,close,volume,quote_volume,trade_count,source,exchange,currency
BTC-FAKE,1902000000000,50000,50600,49700,50300,120,6036000,900,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000060000,50300,51200,50100,50900,135,6871500,980,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000120000,50900,51900,50700,51600,148,7636800,1060,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000180000,51600,52800,51300,52400,162,8488800,1180,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000240000,52400,53800,52100,53400,180,9612000,1320,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000300000,53400,54100,52600,53100,128,6796800,940,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000360000,53100,53900,52900,53600,122,6539200,910,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000420000,53600,54200,52800,53200,119,6330800,880,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000480000,53200,54400,53000,54000,126,6804000,930,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000540000,54000,54600,53200,53700,124,6658800,920,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000600000,53700,55200,50800,51500,260,13390000,1840,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000660000,51500,52300,47200,48100,340,16354000,2360,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000720000,48100,49200,43800,44600,410,18286000,2810,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000780000,44600,46300,41200,42500,390,16575000,2670,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000840000,42500,45800,42000,45100,310,13981000,2180,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000900000,45100,47900,44500,47200,275,12980000,1960,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902000960000,47200,50100,46800,49500,240,11880000,1740,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902001020000,49500,52300,49000,51700,218,11270600,1590,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902001080000,51700,54100,51200,53600,205,10988000,1510,synthetic,FAKE-EXCHANGE,USD
BTC-FAKE,1902001140000,53600,55800,53100,55200,198,10929600,1470,synthetic,FAKE-EXCHANGE,USD
