symbol,date,time,open,high,low,close,volume,trade_value,market,source,currency
FAKEKRX,20300102,090000,50000,50500,49800,50300,12000,603600000,KR,synthetic,KRW
FAKEKRX,20300102,090100,50300,51000,50200,50800,13200,670560000,KR,synthetic,KRW
FAKEKRX,20300102,090200,50800,51500,50600,51300,14000,718200000,KR,synthetic,KRW
FAKEKRX,20300102,090300,51300,52000,51100,51800,15100,782180000,KR,synthetic,KRW
FAKEKRX,20300102,090400,51800,52600,51600,52400,16500,864600000,KR,synthetic,KRW
FAKEKRX,20300102,090500,52400,52800,51900,52200,11800,615960000,KR,synthetic,KRW
FAKEKRX,20300102,090600,52200,52700,52000,52500,11000,577500000,KR,synthetic,KRW
FAKEKRX,20300102,090700,52500,52900,52100,52300,10600,554380000,KR,synthetic,KRW
FAKEKRX,20300102,090800,52300,53000,52200,52800,11400,601920000,KR,synthetic,KRW
FAKEKRX,20300102,090900,52800,53100,52400,52600,10900,573340000,KR,synthetic,KRW
FAKEKRX,20300102,091000,52600,53500,50500,51200,21000,1075200000,KR,synthetic,KRW
FAKEKRX,20300102,091100,51200,51600,48600,49200,26500,1303800000,KR,synthetic,KRW
FAKEKRX,20300102,091200,49200,49800,46200,47000,31000,1457000000,KR,synthetic,KRW
FAKEKRX,20300102,091300,47000,48200,45100,45800,29000,1328200000,KR,synthetic,KRW
FAKEKRX,20300102,091400,45800,47700,45500,47300,23000,1087900000,KR,synthetic,KRW
FAKEKRX,20300102,091500,47300,49000,46900,48600,20500,996300000,KR,synthetic,KRW
FAKEKRX,20300102,091600,48600,50100,48200,49800,18800,936240000,KR,synthetic,KRW
FAKEKRX,20300102,091700,49800,51200,49500,50900,17600,895840000,KR,synthetic,KRW
FAKEKRX,20300102,091800,50900,52100,50500,51800,16900,875420000,KR,synthetic,KRW
FAKEKRX,20300102,091900,51800,53200,51500,52900,17200,909880000,KR,synthetic,KRW
