symbol,timestamp_ms,open,high,low,close,volume,trade_value,source
FAKE-MIX,1900000000000,100.00,101.20,99.60,100.80,10000,1008000,synthetic
FAKE-MIX,1900000060000,100.80,102.30,100.40,101.90,11200,1141280,synthetic
FAKE-MIX,1900000120000,101.90,103.10,101.50,102.70,10800,1109160,synthetic
FAKE-MIX,1900000180000,102.70,104.50,102.20,104.10,12500,1301250,synthetic
FAKE-MIX,1900000240000,104.10,106.00,103.80,105.60,13100,1383360,synthetic
FAKE-MIX,1900000300000,105.60,106.40,104.80,105.10,9800,1029980,synthetic
FAKE-MIX,1900000360000,105.10,106.20,104.90,105.80,9200,973360,synthetic
FAKE-MIX,1900000420000,105.80,106.50,105.00,105.30,9600,1010880,synthetic
FAKE-MIX,1900000480000,105.30,106.80,105.10,106.20,10400,1104480,synthetic
FAKE-MIX,1900000540000,106.20,106.70,105.20,105.70,10100,1067570,synthetic
FAKE-MIX,1900000600000,105.70,107.50,102.50,103.40,18000,1861200,synthetic
FAKE-MIX,1900000660000,103.40,104.20,98.00,99.20,22000,2182400,synthetic
FAKE-MIX,1900000720000,99.20,100.00,93.50,94.80,26000,2464800,synthetic
FAKE-MIX,1900000780000,94.80,96.50,90.80,92.10,24000,2210400,synthetic
FAKE-MIX,1900000840000,92.10,95.20,91.50,94.40,19000,1793600,synthetic
FAKE-MIX,1900000900000,94.40,97.00,93.90,96.50,17500,1688750,synthetic
FAKE-MIX,1900000960000,96.50,98.80,96.10,98.20,16000,1571200,synthetic
FAKE-MIX,1900001020000,98.20,100.90,97.80,100.40,15400,1546160,synthetic
FAKE-MIX,1900001080000,100.40,102.80,99.90,102.10,14800,1511080,synthetic
FAKE-MIX,1900001140000,102.10,104.00,101.70,103.50,14200,1469700,synthetic
