symbol,timestamp_ms,open,high,low,close,volume,trade_value,source
SYNTH-TEST2,2000000000000,100,101,99,100.5,1000,100500,synthetic
SYNTH-TEST2,2000000060000,100.5,102,100,101.5,1050,106575,synthetic
SYNTH-TEST2,2000000120000,101.5,103,101,102.5,1100,112750,synthetic
SYNTH-TEST2,2000000180000,102.5,104,102,103.5,1150,119025,synthetic
SYNTH-TEST2,2000000240000,103.5,105,103,104.5,1200,125400,synthetic
SYNTH-TEST2,2000000300000,104.5,105,103.5,104,1000,104000,synthetic
SYNTH-TEST2,2000000360000,104,105,103.5,104.5,980,102410,synthetic
SYNTH-TEST2,2000000420000,104.5,105,103.5,104,1020,106080,synthetic
SYNTH-TEST2,2000000480000,104,105,103.5,104.5,990,103455,synthetic
SYNTH-TEST2,2000000540000,104.5,105,103.5,104,1010,105040,synthetic
SYNTH-TEST2,2000000600000,104,105,99,100,1800,180000,synthetic
SYNTH-TEST2,2000000660000,100,101,95,96,2200,211200,synthetic
SYNTH-TEST2,2000000720000,96,97,91,92,2500,230000,synthetic
SYNTH-TEST2,2000000780000,92,94,89,90,2300,207000,synthetic
SYNTH-TEST2,2000000840000,90,94,89,93,1900,176700,synthetic
SYNTH-TEST2,2000000900000,93,96,92,95,1700,161500,synthetic
SYNTH-TEST2,2000000960000,95,98,94,97,1500,145500,synthetic
SYNTH-TEST2,2000001020000,97,100,96,99,1400,138600,synthetic
SYNTH-TEST2,2000001080000,99,102,98,101,1300,131300,synthetic
SYNTH-TEST2,2000001140000,101,104,100,103,1250,128750,synthetic
