symbol,date,time,open,high,low,close,volume,trade_value,market,source,currency
FAKEKR2,20310102,090000,50000,50200,49800,50100,1000,50100000,KR,synthetic,KRW
FAKEKR2,20310102,090100,50100,50300,49900,50200,1050,52710000,KR,synthetic,KRW
FAKEKR2,20310102,090200,50200,50400,50000,50300,1100,55330000,KR,synthetic,KRW
FAKEKR2,20310102,090300,50300,50500,50100,50400,1150,57960000,KR,synthetic,KRW
FAKEKR2,20310102,090400,50400,50600,50200,50500,1200,60600000,KR,synthetic,KRW
FAKEKR2,20310102,091000,50500,50700,50300,50600,1250,63250000,KR,synthetic,KRW
FAKEKR2,20310102,091100,50600,50800,50400,50700,1200,60840000,KR,synthetic,KRW
FAKEKR2,20310102,091200,50700,50900,50500,50800,1150,58420000,KR,synthetic,KRW
FAKEKR2,20310102,091300,50800,51000,50600,50900,1100,55990000,KR,synthetic,KRW
FAKEKR2,20310102,091400,50900,51100,50700,51000,1050,53550000,KR,synthetic,KRW
FAKEKR2,20310102,092000,51000,51200,50000,50200,1800,90360000,KR,synthetic,KRW
FAKEKR2,20310102,092100,50200,50400,49200,49400,2100,103740000,KR,synthetic,KRW
FAKEKR2,20310102,092200,49400,49600,48400,48600,2300,111780000,KR,synthetic,KRW
FAKEKR2,20310102,092300,48600,48900,48000,48300,2000,96600000,KR,synthetic,KRW
FAKEKR2,20310102,092400,48300,49100,48200,48900,1700,83130000,KR,synthetic,KRW
FAKEKR2,20310102,093000,48900,49600,48700,49400,1500,74100000,KR,synthetic,KRW
FAKEKR2,20310102,093100,49400,50100,49200,49900,1400,69860000,KR,synthetic,KRW
FAKEKR2,20310102,093200,49900,50600,49700,50400,1300,65520000,KR,synthetic,KRW
FAKEKR2,20310102,093300,50400,51100,50200,50900,1250,63625000,KR,synthetic,KRW
FAKEKR2,20310102,093400,50900,51600,50700,51400,1200,61680000,KR,synthetic,KRW
