symbol,timestamp_ms,open,high,low,close,volume,source,exchange,currency
BTC-TEST2,2003000000000,40000,40500,39500,40200,10,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000060000,40200,40800,40000,40600,11,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000120000,40600,41200,40400,41000,12,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000180000,41000,41600,40800,41400,13,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000240000,41400,42000,41200,41800,14,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000300000,41800,42200,41400,41700,12,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000360000,41700,42100,41500,41900,11,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000420000,41900,42300,41600,41800,10,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000480000,41800,42200,41500,42000,11,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000540000,42000,42400,41700,41900,12,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000600000,41900,42500,40500,40800,20,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000660000,40800,41200,39500,39800,24,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000720000,39800,40200,38500,38800,28,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000780000,38800,39600,38000,38400,26,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000840000,38400,39800,38200,39600,22,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000900000,39600,40800,39400,40600,20,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003000960000,40600,41800,40400,41600,18,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003001020000,41600,42800,41400,42600,16,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003001080000,42600,43800,42400,43600,15,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2003001140000,43600,44800,43400,44600,14,synthetic,FAKE-EXCHANGE,USD
