symbol,timestamp_ms,open,high,low,close,volume,quote_volume,trade_count,source,exchange,currency
BTC-TEST2,2002000000000,50000,50500,49500,50200,1,50200,10,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000060000,50200,50800,50000,50600,2,101200,12,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000120000,50600,51200,50400,51000,3,153000,14,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000180000,51000,51600,50800,51400,4,205600,16,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000240000,51400,52000,51200,51800,5,259000,18,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000300000,51800,52200,51400,51700,4,206800,16,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000360000,51700,52100,51500,51900,3,155700,14,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000420000,51900,52300,51600,51800,2,103600,12,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000480000,51800,52200,51500,52000,3,156000,14,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000540000,52000,52400,51700,51900,4,207600,16,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000600000,51900,53000,50000,50500,1000000,50500000000,500000,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000660000,50500,51000,48000,48500,6,291000,20,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000720000,48500,49000,46000,46500,7,325500,22,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000780000,46500,47500,45000,45500,8,364000,24,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000840000,45500,48000,45200,47500,7,332500,22,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000900000,47500,49500,47000,49000,6,294000,20,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002000960000,49000,51000,48500,50500,5,252500,18,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002001020000,50500,52500,50000,52000,4,208000,16,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002001080000,52000,54000,51500,53500,3,160500,14,synthetic,FAKE-EXCHANGE,USD
BTC-TEST2,2002001140000,53500,55500,53000,55000,2,110000,12,synthetic,FAKE-EXCHANGE,USD
