Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-01-02,185.64,186.20,182.90,184.25,184.25,82488700,AAPL
2024-01-03,183.50,184.20,181.80,182.12,182.12,75655100,AAPL
2024-01-04,182.10,183.75,181.50,183.05,183.05,64802400,AAPL
2024-01-05,183.00,186.10,182.60,185.98,185.98,70122100,AAPL
2024-01-08,186.20,187.95,185.45,187.68,187.68,57913200,AAPL
2024-01-09,187.90,188.40,186.25,187.10,187.10,50110000,AAPL
2024-01-10,187.25,188.10,186.75,187.86,187.86,46721000,AAPL
2024-01-11,188.00,189.15,187.55,188.63,188.63,44281300,AAPL
2024-01-12,188.70,189.80,187.90,189.11,189.11,41022700,AAPL
2024-01-16,188.95,190.25,188.20,189.85,189.85,39651400,AAPL
2024-01-17,189.60,190.70,188.85,190.32,190.32,38411800,AAPL
2024-01-18,190.10,191.25,189.35,190.88,190.88,36294500,AAPL
2024-01-19,190.90,192.05,190.10,191.44,191.44,35411200,AAPL
2024-01-22,191.55,192.40,190.80,191.05,191.05,33055100,AAPL
2024-01-23,191.10,192.70,190.95,192.18,192.18,32114500,AAPL
2024-01-24,192.20,193.15,191.50,192.77,192.77,31499800,AAPL
2024-01-25,192.80,194.05,192.10,193.65,193.65,30987400,AAPL
2024-01-26,193.70,194.80,193.20,194.11,194.11,30114400,AAPL
2024-01-29,194.20,195.10,193.60,194.58,194.58,29755100,AAPL
2024-01-30,194.65,195.55,193.95,195.02,195.02,29100200,AAPL
2024-01-31,195.10,196.20,194.60,195.48,195.48,28641100,AAPL
