Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-01-02,185.64,186.20,182.90,184.25,184.25,82488700,AAPL
2024-01-03,183.50,184.20,181.80,182.12,182.12,75655100,AAPL
2024-01-04,182.10,183.75,181.50,183.05,183.05,64802400,AAPL
2024-01-05,183.00,186.10,182.60,185.98,185.98,70122100,AAPL
2024-01-08,186.20,187.95,185.45,187.68,187.68,57913200,AAPL
2024-01-09,187.90,188.40,186.25,187.10,187.10,50110000,AAPL
2024-01-10,187.25,188.10,186.75,187.86,187.86,46721000,AAPL
2024-01-11,188.00,189.15,187.55,188.63,188.63,44281300,AAPL
2024-01-12,188.70,189.80,187.90,189.11,189.11,41022700,AAPL
2024-01-16,188.95,190.25,188.20,189.85,189.85,39651400,AAPL
2024-01-17,189.60,190.70,188.85,190.32,190.32,38411800,AAPL
2024-01-18,190.10,191.25,189.35,190.88,190.88,36294500,AAPL
2024-01-19,190.90,192.05,190.10,191.44,191.44,35411200,AAPL
2024-01-22,191.55,192.40,190.80,191.05,191.05,33055100,AAPL
2024-01-23,191.10,192.70,190.95,192.18,192.18,32114500,AAPL
2024-01-24,192.20,193.15,191.50,192.77,192.77,31499800,AAPL
2024-01-25,192.80,194.05,192.10,193.65,193.65,30987400,AAPL
2024-01-26,193.70,194.80,193.20,194.11,194.11,30114400,AAPL
2024-01-29,194.20,195.10,193.60,194.58,194.58,29755100,AAPL
2024-01-30,194.65,195.55,193.95,195.02,195.02,29100200,AAPL
2024-01-31,195.10,196.20,194.60,195.48,195.48,28641100,AAPL
2024-01-02,375.20,377.10,372.60,374.81,374.81,26551400,MSFT
2024-01-03,373.80,375.55,371.90,373.26,373.26,24331100,MSFT
2024-01-04,373.10,376.45,372.80,375.11,375.11,23811100,MSFT
2024-01-05,375.30,378.65,374.40,377.48,377.48,22900200,MSFT
2024-01-08,377.60,379.05,376.10,378.92,378.92,21488100,MSFT
2024-01-09,378.70,380.20,377.50,379.44,379.44,20874300,MSFT
2024-01-10,379.50,381.10,378.80,380.27,380.27,20155100,MSFT
2024-01-11,380.35,382.00,379.40,381.18,381.18,19800100,MSFT
2024-01-12,381.10,383.25,380.75,382.44,382.44,19155100,MSFT
2024-01-16,382.30,384.10,381.20,383.05,383.05,18877100,MSFT
2024-01-17,383.20,385.25,382.55,384.22,384.22,18411200,MSFT
2024-01-18,384.35,386.10,383.70,385.01,385.01,18110400,MSFT
2024-01-19,385.20,387.30,384.95,386.26,386.26,17851000,MSFT
2024-01-22,386.40,388.15,385.80,387.02,387.02,17601800,MSFT
2024-01-23,387.10,389.40,386.65,388.55,388.55,17299700,MSFT
2024-01-24,388.70,390.55,387.90,389.11,389.11,17055200,MSFT
2024-01-25,389.20,391.15,388.60,390.08,390.08,16822100,MSFT
2024-01-26,390.05,392.25,389.40,391.21,391.21,16688200,MSFT
2024-01-29,391.30,393.40,390.60,392.12,392.12,16550100,MSFT
2024-01-30,392.20,394.55,391.75,393.64,393.64,16488200,MSFT
2024-01-31,393.50,395.60,392.85,394.41,394.41,16311100,MSFT
